SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,LOC
22020,1629029,22000908,2021-04-24,DAL vs. LAL,W,39,6,15,0.4,2,6,0.333,4,5,0.8,0,8,8,13,0,0,6,1,18,26,1,Home
22020,1629029,22000926,2021-04-26,DAL @ SAC,L,38,8,20,0.4,4,12,0.333,4,6,0.667,0,8,8,8,0,0,4,2,24,-19,1,Away
22020,1629029,22000932,2021-04-27,DAL @ GSW,W,28,15,23,0.652,4,10,0.4,5,5,1.0,2,4,6,8,2,0,7,3,39,29,1,Away
22020,1629029,22000964,2021-05-01,DAL vs. WAS,W,39,12,23,0.522,1,6,0.167,6,11,0.545,2,10,12,20,0,0,1,4,31,6,1,Home
22020,1629029,22000970,2021-05-02,DAL vs. SAC,L,36,11,22,0.5,1,7,0.143,7,8,0.875,0,6,6,6,2,0,6,4,30,4,1,Home
22020,1629029,22000986,2021-05-04,DAL @ MIA,W,30,8,15,0.533,5,10,0.5,2,5,0.4,1,11,12,8,0,0,7,1,23,20,1,Away
22020,1629029,22000998,2021-05-06,DAL vs. BKN,W,36,7,22,0.318,5,13,0.385,5,10,0.5,1,9,10,8,2,0,6,0,24,7,1,Home
22020,1629029,22001007,2021-05-07,DAL vs. CLE,W,23,8,17,0.471,1,5,0.2,7,7,1.0,1,7,8,1,0,1,3,4,24,7,1,Home
22020,1629029,22001021,2021-05-09,DAL @ CLE,W,22,5,11,0.455,0,2,0.0,5,7,0.714,1,4,5,5,2,0,1,2,15,4,1,Away
22020,1629029,22001037,2021-05-11,DAL @ MEM,L,26,4,16,0.25,0,4,0.0,4,4,1.0,1,4,5,5,0,0,5,1,12,-23,1,Away
22020,1629029,22000154,2021-05-12,DAL vs. NOP,W,31,12,24,0.5,7,15,0.467,2,2,1.0,1,7,8,8,0,0,4,1,33,24,1,Home
22020,1629029,22001057,2021-05-14,DAL vs. TOR,W,34,7,19,0.368,1,8,0.125,5,5,1.0,1,9,10,11,0,1,1,4,20,-5,1,Home
22020,1629029,22001071,2021-05-16,DAL @ MIN,L,21,6,13,0.462,2,7,0.286,4,5,0.8,0,6,6,6,2,0,4,1,18,-15,1,Away
22021,1629029,22100014,2021-10-21,DAL @ ATL,L,35,6,17,0.353,2,7,0.286,4,4,1.0,0,11,11,7,1,0,5,1,18,-24,1,Away
22021,1629029,22100029,2021-10-23,DAL @ TOR,W,39,11,24,0.458,2,10,0.2,3,5,0.6,0,9,9,12,0,1,5,3,27,1,1,Away
22021,1629029,22100052,2021-10-26,DAL vs. HOU,W,34,10,25,0.4,1,6,0.167,5,5,1.0,2,12,14,7,2,1,4,3,26,15,1,Home
22021,1629029,22100069,2021-10-28,DAL vs. SAS,W,34,11,19,0.579,3,8,0.375,0,3,0.0,0,3,3,5,0,1,7,3,25,-19,1,Home
22021,1629029,22100075,2021-10-29,DAL @ DEN,L,26,5,18,0.278,1,4,0.25,5,5,1.0,0,6,6,4,2,0,2,1,16,-32,1,Away
22021,1629029,22100089,2021-10-31,DAL vs. SAC,W,35,10,21,0.476,1,7,0.143,2,6,0.333,0,8,8,10,1,1,3,3,23,5,1,Home
22021,1629029,22100104,2021-11-02,DAL vs. MIA,L,36,10,24,0.417,3,9,0.333,10,12,0.833,2,1,3,5,0,0,3,2,33,-13,1,Home
22021,1629029,22100116,2021-11-03,DAL @ SAS,W,36,10,25,0.4,3,12,0.25,0,2,0.0,0,12,12,7,2,0,4,1,23,-17,1,Away
22021,1629029,22100136,2021-11-06,DAL vs. BOS,W,35,12,21,0.571,5,10,0.5,4,4,1.0,1,8,9,5,0,1,6,4,33,10,1,Home
22021,1629029,22100150,2021-11-08,DAL vs. NOP,W,33,10,21,0.476,2,5,0.4,3,5,0.6,2,3,5,5,1,1,5,3,25,-2,1,Home
22021,1629029,22100163,2021-11-10,DAL @ CHI,L,33,6,18,0.333,1,6,0.167,7,10,0.7,1,7,8,10,4,1,4,0,20,-20,1,Away
22021,1629029,22100181,2021-11-12,DAL @ SAS,W,36,11,23,0.478,6,13,0.462,4,8,0.5,0,12,12,15,2,0,2,2,32,6,1,Away
22021,1629029,22100204,2021-11-15,DAL vs. DEN,W,38,9,23,0.391,2,7,0.286,3,5,0.6,1,7,8,11,2,1,4,3,23,4,1,Home
22021,1629029,22100266,2021-11-23,DAL @ LAC,W,41,9,21,0.429,4,11,0.364,4,4,1.0,1,8,9,9,1,2,6,4,26,7,1,Away
22021,1629029,22100298,2021-11-27,DAL vs. WAS,L,37,13,25,0.52,3,9,0.333,4,7,0.571,0,4,4,10,0,0,4,3,33,-11,1,Home
22021,1629029,22100310,2021-11-29,DAL vs. CLE,L,33,9,21,0.429,7,11,0.636,0,4,0.0,2,8,10,10,1,0,4,2,25,-20,1,Home
22021,1629029,22100325,2021-12-01,DAL @ NOP,W,27,11,16,0.688,2,5,0.4,4,4,1.0,1,3,4,14,1,0,8,1,28,29,1,Away
22021,1629029,22100338,2021-12-03,DAL vs. NOP,L,35,7,20,0.35,0,6,0.0,7,9,0.778,1,9,10,7,0,0,7,4,21,-10,1,Home
22021,1629029,22100363,2021-12-07,DAL vs. BKN,L,37,9,21,0.429,3,11,0.273,7,8,0.875,1,5,6,9,0,0,1,5,28,-2,1,Home
22021,1629029,22100373,2021-12-08,DAL @ MEM,W,36,10,19,0.526,5,10,0.5,1,2,0.5,0,8,8,7,1,0,9,1,26,18,1,Away
22021,1629029,22100383,2021-12-10,DAL @ IND,L,37,11,25,0.44,1,8,0.125,4,4,1.0,2,7,9,9,1,1,3,4,27,-9,1,Away
22021,1629029,22100550,2022-01-02,DAL @ OKC,W,31,6,14,0.429,2,6,0.333,0,0,0.0,0,9,9,10,1,0,7,1,14,-4,1,Away
22021,1629029,22100558,2022-01-03,DAL vs. DEN,W,34,7,18,0.389,1,6,0.167,6,8,0.75,0,8,8,15,4,0,3,5,21,25,1,Home
22021,1629029,22100572,2022-01-05,DAL vs. GSW,W,34,7,18,0.389,2,8,0.25,10,12,0.833,0,7,7,8,2,0,6,1,26,2,1,Home
22021,1629029,22100603,2022-01-09,DAL vs. CHI,W,35,8,23,0.348,2,6,0.333,4,4,1.0,0,14,14,14,0,0,4,1,22,26,1,Home
22021,1629029,22100622,2022-01-12,DAL @ NYK,L,36,8,23,0.348,1,9,0.111,4,6,0.667,1,10,11,5,2,0,6,2,21,-24,1,Away
22021,1629029,22100639,2022-01-14,DAL @ MEM,W,32,12,22,0.545,0,6,0.0,3,4,0.75,1,12,13,10,0,0,6,2,27,12,1,Away
22021,1629029,22100650,2022-01-15,DAL vs. ORL,W,31,7,19,0.368,1,6,0.167,8,9,0.889,1,8,9,3,0,0,1,3,23,20,1,Home
22021,1629029,22100663,2022-01-17,DAL vs. OKC,W,39,4,17,0.235,0,6,0.0,12,14,0.857,2,9,11,12,3,3,2,2,20,12,1,Home
22021,1629029,22100675,2022-01-19,DAL vs. TOR,W,42,13,24,0.542,4,10,0.4,11,12,0.917,2,12,14,7,1,0,4,2,41,7,1,Home
22021,1629029,22100682,2022-01-20,DAL vs. PHX,L,38,9,23,0.391,2,9,0.222,8,11,0.727,1,7,8,8,1,0,8,1,28,-7,1,Home
22021,1629029,22100705,2022-01-23,DAL vs. MEM,W,38,13,25,0.52,2,7,0.286,9,12,0.75,2,9,11,9,3,1,5,2,37,15,1,Home
22021,1629029,22100720,2022-01-25,DAL @ GSW,L,27,7,17,0.412,4,7,0.571,7,7,1.0,1,7,8,3,0,0,2,3,25,-19,1,Away
22021,1629029,22100732,2022-01-26,DAL @ POR,W,37,4,11,0.364,2,6,0.333,5,8,0.625,0,10,10,15,1,0,3,1,15,11,1,Away
22021,1629029,22100746,2022-01-29,DAL vs. IND,W,32,12,21,0.571,4,9,0.444,2,7,0.286,1,5,6,12,1,2,1,0,30,34,1,Home
22021,1629029,22100755,2022-01-30,DAL @ ORL,L,38,13,22,0.591,4,9,0.444,4,6,0.667,0,12,12,11,1,0,6,3,34,11,1,Away
22021,1629029,22100778,2022-02-02,DAL vs. OKC,L,43,16,33,0.485,5,13,0.385,3,4,0.75,1,5,6,10,3,0,3,3,40,-17,1,Home
22021,1629029,22100791,2022-02-04,DAL vs. PHI,W,40,13,28,0.464,1,6,0.167,6,9,0.667,3,10,13,15,2,0,3,1,33,19,1,Home
22021,1629029,22100807,2022-02-06,DAL vs. ATL,W,28,6,17,0.353,1,3,0.333,5,6,0.833,3,7,10,11,1,0,1,5,18,10,1,Home
22021,1629029,22100820,2022-02-08,DAL vs. DET,W,33,9,18,0.5,5,9,0.556,10,14,0.714,0,7,7,11,1,2,5,3,33,35,1,Home
22021,1629029,22100835,2022-02-10,DAL vs. LAC,W,40,17,26,0.654,7,14,0.5,10,14,0.714,0,9,9,6,1,1,7,4,51,9,1,Home
